,CUIs,concepts,tw_phrases
0,C0455769,Energy increased,still not tired
1,C0003123,Anorexia,I haven't eaten in 3 days
2,C0917801,Sleeplessness,can't remember the last time I slept
3,C0022107,Irritable Mood,I feel like
4,C0011570,Mental Depression,depression
5,C1971624,Loss of appetite (finding),lack of appetite
6,C0424295,Hyperactive behavior,wired
7,C0003467,Anxiety,anxiety
8,C0233414,Disturbance in attention,still procrastinating
9,C0020175,Hunger,hungry
10,C1971624,Loss of appetite (finding),I don't hunger or thirst
11,C0043096,Body Weight decreased,lost 6 inches
12,C0009676,Confusion,conundrum
13,C0917801,Sleeplessness,incapable of sleep
14,C0917801,Sleeplessness,still haven't slept
15,C0011551,Depersonalization,a zombie
16,C0344320,Vivid dreams,gives me man vivid dreams
17,C0021053,Immune System Diseases,destroyed my #immunesystem
18,C0030193,Pain,hurting
19,C0013144,Drowsiness,drowsy
20,C0041657,Unconscious State,knock me out
21,C0085633,Mood swings,mood swings
22,C0600104,Obsessive compulsive behavior,I unnecessarily wipe for 20 minutes until I'm practically bleeding
23,C0037317,Sleep disturbances,sleep problems
24,C0087169,Withdrawal Symptoms,rather kick heroin than Effexor
25,C0917799,Hypersomnia,fall asleep
26,C0917801,Sleeplessness,insomnia
27,C0021368,Inflammation,Inflamed bursa
28,C0033975,Psychotic Disorders,Mental illness
29,C0338614,Psychotic episode,psychotic break
30,C0040822,Tremor,acute tremor
31,C0520962,Pain localised,fingers hurt
32,C0455769,Energy increased,got me up
33,C0003467,Anxiety,#anxiety
34,C0030193,Pain,pain
35,C0085633,Mood swings,bipolar
36,C0233479,Elevated mood,nicer
37,C0344315,Depressed mood,depressed
38,C0553721,Sweating decreased,reduced sweating
39,C0043096,Body Weight decreased,weight loss
40,C0030193,Pain,hurt really bad
41,C0013595,Eczema,dry skin
42,C0235169,Excitability,in my feelings
43,C0042571,Vertigo,vertigo
44,C0003467,Anxiety,Anxiety
45,C0541854,Daytime sleepiness,feel like a zombie
46,C0917801,Sleeplessness,need sleep
47,C0000729,Abdominal Cramps,cramps
48,C0235169,Excitability,got me to the ceiling
49,C0851444,Allergic conditions,allergic reaction
